Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material e Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;latitude;longitude
FE 47-1-1;;;"14;4 x 6;8 cm";Cerâmica e vidrado Estampinha;Travessa Rui Barbosa nº 723- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,9615324;-48,1932456
FE 48-1-1 (a e b-canto);;;;Cerâmica e vidrado Estampinha;Rua Oliveira Belo nº 260- Belém - Pará - Brasil;Umarizal;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4399889;-48,476206
FE 48-1-1 (a e b-canto);;;;Cerâmica e vidrado Estampinha;Rua Oliveira Belo nº 264- Belém - Pará - Brasil;Umarizal;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4399889;-48,476206
FE 49-1-1;x/Portugal;;"15;1 x 7;6 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 400- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 51-1-1;x/Portugal;;"15;4 x 7;4 cm";Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata nº 492- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
FE 51-1-1;x/Portugal;;"15;4 x 7;4 cm";Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata nº 496- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
FE 52-1-1;x/Alemanha;Provavelmente Wessel's Wandplatten-Fabrik-Bonn Dransdorf;"14;5 x 7 cm";Cerâmica e vidrado Estampinha;Avenida Brás de Aguiar nº 55- Belém - Pará - Brasil;Nazar�;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4543551;-48,4845742
FE 54-1-1;x/Portugal;;;Cerâmica e vidrado Estampinha;Travessa São Francisco nº 60- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4600087;-48,4966468
FE 55-1-1;x/Portugal;;;Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata nº 271- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
FE 56-1-1;x/Provavelmente Portugal;;;Cerâmica e vidrado Estampinha;Travessa Campos Sales nº 365- Belém - Pará - Brasil;Com�rcio;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4543075;-48,4978101
FE 56-1-1;x/Provavelmente Portugal;;;Cerâmica e vidrado Estampinha;Travessa Campos Sales nº 375- Belém - Pará - Brasil;Com�rcio;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4543075;-48,4978101
FE 60-1-1;;;"14;2 x 6;6 cm";Cerâmica e vidrado Estampinha;Travessa São Francisco nº 60- Belém - Pará - Brasil;Batista Campos;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4600087;-48,4966468
FI 1-1-1;;;;Cerâmica e vidrado Transferência ou Impressão;Rua Senador Manoel Barata nº 105- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4450958;-48,4902637
CD  4-1-1;Dresden/Alemanha;Villeroy & Boch Mosaik Fabrik;14 x 14 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Rua Santo Antônio nº 254- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,449883636;-48,49855734
