Azulejo-Código,Cidade,Pais,altura,largura,Endereço,Bairro,Uso-Aplicação
FE 38-1-1,,França,21/1,06/1,Rua 28 de Setembro n° 1181/1183,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 39-1-1,Lisboa,Portugal,13/6,06/9,"Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489/ Rua Arcipreste Manoel Teodoro n° 756/
 Rua Rodrigues dos Santos n° 305",Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 39-1-1,Lisboa,Portugal,13/6,06/9,"Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489/ Rua Arcipreste Manoel Teodoro n° 756/
 Rua Rodrigues dos Santos n° 305",Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 39-1-1,Lisboa,Portugal,13/6,06/9,"Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489/ Rua Arcipreste Manoel Teodoro n° 756/
 Rua Rodrigues dos Santos n° 305",Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 40-1-1,Lisboa,Portugal,13/4,06/8,Avenida 16 de Novembro n° 406/ Rua 28 de Setembro n° 1187/1189,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 40-1-1,Lisboa,Portugal,13/4,06/8,Avenida 16 de Novembro n° 406/ Rua 28 de Setembro n° 1187/1189,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 41-1-1,Lisboa,Portugal,13/3,06/5,Avenida 16 de Novembro n° 791,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 42-1-1,Lisboa,Portugal,13/3,06/5,Travessa Pedro Albuquerque n° 65/ Travessa Benjamin Constant n° 415/ Avenida Nazaré n° 285/ Travessa Campos Sales n° 517/ Rua Angelo Custódio n° 35/41/45/47,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 42-1-1,Lisboa,Portugal,13/3,06/5,Travessa Pedro Albuquerque n° 65/ Travessa Benjamin Constant n° 415/ Avenida Nazaré n° 285/ Travessa Campos Sales n° 517/ Rua Angelo Custódio n° 35/41/45/47,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 42-1-1,Lisboa,Portugal,13/3,06/5,Travessa Pedro Albuquerque n° 65/ Travessa Benjamin Constant n° 415/ Avenida Nazaré n° 285/ Travessa Campos Sales n° 517/ Rua Angelo Custódio n° 35/41/45/47,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 42-1-1,Lisboa,Portugal,13/3,06/5,Travessa Pedro Albuquerque n° 65/ Travessa Benjamin Constant n° 415/ Avenida Nazaré n° 285/ Travessa Campos Sales n° 517/ Rua Angelo Custódio n° 35/41/45/47,"
Nazaré",Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 43-1-1,Lisboa,Portugal,13/3,06/5,Travessa Pedro Albuquerque n° 71,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 44-1-1,Porto,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 45-1-1,Porto,Portugal,,,Travessa São Francisco n° 60,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 46-1-1,Porto,Portugal,,,Travessa São Francisco n° 60,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 47-1-1,,,14/4,06/8,Travessa Rui Barbosa n° 717 e 723,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 48-1-1 (a e b-canto),,,,,Rua Oliveira Belo n° 260 e 264,Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 49-1-1,,Portugal,15/1,07/6,Travessa Frutuoso Guimarães n° 400, 441, 565, 584, 590, 596 e 602/ Travessa Presidente Pernambuco n° 204/ Rua Riachuelo n° 43 e s/n°,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 49-1-1,,Portugal,15/1,07/6,Travessa Frutuoso Guimarães n° 400, 441, 565, 584, 590, 596 e 602/ Travessa Presidente Pernambuco n° 204/ Rua Riachuelo n° 43 e s/n°,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 49-1-2,,,15/1,07/6,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 50-1-1,,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 51-1-1,,Portugal,15/4,07/4,Rua Senador Manoel Barata n° 492/496,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 52-1-1,,Alemanha,14/5,07/1,Avenida Brás de Aguiar n° 55,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 53-1-1,,Portugal,14/1,06/8,Rua Dr. Assis n° 213-215,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 54-1-1,,Portugal,,,Travessa São Francisco n° 60,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 55-1-1,,Portugal,,,Rua Senador Manoel Barata n° 271,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 56-1-1,,Portugal,,,Travessa Campos Sales n° 365/375,Comércio,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 57-1-1,,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 58-1-1,,,15/1,07/5,Avenido Conselheiro Furtado n° 1881,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 59-1-1,,,15/1,07/5,Demolido,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 60-1-1,,,14/2,06/6,Travessa São Francisco n° 60,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 61-1-1,,,15/1,07/5,Demolido,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FI 1-1-1,,,,,Rua Senador Manoel Barata n° 105/ Avenida Gentil Bittencourt n° 49,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FI 1-1-1,,,,,Rua Senador Manoel Barata n° 105/ Avenida Gentil Bittencourt n° 49,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FI 2-1-1,,,15/1,07/5,Avenida Generalíssimo Deodoro n° 384,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD  4-1-1,Dresden,Alemanha,14/1,14/1,Rua Santo Antônio n° 254, 260, 274/276/ Rua Alcindo Cacela n° 1858/ Travessa Padre Eutiquio n° 225 e Avenida Castilhos França n° 278,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD  4-1-1,Dresden,Alemanha,14/1,14/1,Rua Santo Antônio n° 254, 260, 274/276/ Rua Alcindo Cacela n° 1858/ Travessa Padre Eutiquio n° 225 e Avenida Castilhos França n° 278,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 5-1-1,,França,10/5,10/5,Rua Santo Antônio n° 220 e 224,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 5-1-2,,França,10/5,10/5,Rua Ó de Almeida n° 306/ Rua Senador Manoel Barata n° 347/351 e 363/ Avenida Serzedelo Correa n° 1074 e 1078/ Rua Arcipreste Manoel Teodoro n° 594/ Avenida 16 de Novembro n° 41, 421, 427 e 443/ Rua 28 de setembro n° 136, 138/142,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 5-1-2,,França,10/5,10/5,Rua Ó de Almeida n° 306/ Rua Senador Manoel Barata n° 347/351 e 363/ Avenida Serzedelo Correa n° 1074 e 1078/ Rua Arcipreste Manoel Teodoro n° 594/ Avenida 16 de Novembro n° 41, 421, 427 e 443/ Rua 28 de setembro n° 136, 138/142,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 6-1-1,,França,10/4,10/4,Travessa Féli Roque n° 260, 268 e 316/ Rua Dr. Malcher n° 477/ Travessa Rui Barbosa n° 1023/ Avenida Portugal n° 57/ Rua Marquês de Pombal n° 76/80/ Rua Gaspar Viana n° 283/289/ Rua 15 de Novembro n° 13/ Avenida Castilhos França n° 648,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 6-1-1,,França,10/4,10/4,Travessa Féli Roque n° 260, 268 e 316/ Rua Dr. Malcher n° 477/ Travessa Rui Barbosa n° 1023/ Avenida Portugal n° 57/ Rua Marquês de Pombal n° 76/80/ Rua Gaspar Viana n° 283/289/ Rua 15 de Novembro n° 13/ Avenida Castilhos França n° 648,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 7-1-1,Dresden,Alemanha,14/6,14/6,Rua Ó de Almeida n° 1209, 1227, 1235 e 1245/ Avenida Nazaré n° 154 e 166/ Rua Mundurucus n° 619/ Travessa Padre Eutiquio n° 1192, 1198, 1206 e 1214,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 7-1-1,Dresden,Alemanha,14/6,14/6,Rua Ó de Almeida n° 1209, 1227, 1235 e 1245/ Avenida Nazaré n° 154 e 166/ Rua Mundurucus n° 619/ Travessa Padre Eutiquio n° 1192, 1198, 1206 e 1214,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 7-1-1,Dresden,Alemanha,14/6,14/6,Rua Ó de Almeida n° 1209, 1227, 1235 e 1245/ Avenida Nazaré n° 154 e 166/ Rua Mundurucus n° 619/ Travessa Padre Eutiquio n° 1192, 1198, 1206 e 1214,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 8-1-1,Dresden,Alemanha,14/1,14/1,Rua Ó de Almeida n° 1116/ Avenida Assis de Vasconcelos n° 831/ Rua Tomázia Perdigão n° 240/ Rua Gaspar Viana n° 152/154/158/ Travessa Leão III n° 22/24/26,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 8-1-1,Dresden,Alemanha,14/1,14/1,Rua Ó de Almeida n° 1116/ Avenida Assis de Vasconcelos n° 831/ Rua Tomázia Perdigão n° 240/ Rua Gaspar Viana n° 152/154/158/ Travessa Leão III n° 22/24/26,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 8-1-1,Dresden,Alemanha,14/1,14/1,Rua Ó de Almeida n° 1116/ Avenida Assis de Vasconcelos n° 831/ Rua Tomázia Perdigão n° 240/ Rua Gaspar Viana n° 152/154/158/ Travessa Leão III n° 22/24/26,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 9-1-1,,,12/3,12/3,Rua Santo Antônio n° 139/153/159/ Travessa Leão III n° 55/79,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 10-1-1 (a e b),, Alemanha,14/5,14/5,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 10-1-2,, Alemanha,14/5,14/5,Avenida Portugal n° 93,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 11-1-1,,,,,Rua dos Mundurucus n° 1387,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 12-1-1,,,,,Travessa Benjamin  Constant n° 1009,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 13-1-1,,,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 14-1-1,,Alemanha,14/1,14/1,Travessa Dr. Moraes n° 85, 91, 107 e 115,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CD 15-1-1,,França,21/1,21/1,Demolido antes de 1986, ,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CI  1-1-1 (a e b),,,14/5,14/5,Rua 28 de Setembro n° 70/752,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CI  1-1-1 (a e b),,,14/5,14/5,Rua 28 de Setembro n° 70/752,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CI  2-1-1,,,10/9,10/9,Rua Inacio Gilhon n° 41/ Avenida Generalíssimo Deodoro n° 1130,Comercio,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CI  2-1-1,,,10/9,10/9,Rua Inacio Gilhon n° 41/ Avenida Generalíssimo Deodoro n° 1130,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CI  3-1-1 (a e b),,Portugal,14/1,07/1,Avenida Conselheiro Furtado n° 456,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 6-1-1,,Inglaterra,15/8,07/8,Rua dos 48 n° 34,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 7-1-1,,Portugal,15/8,07/8,Travessa Gurupá n° 250,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 7-1-2,,Portugal,15/8,07/8,Travessa Dom Pedro n° 704/ Rua Santo Antônio n° 202, 206/208 e 210/216/ Travessa Gurupá n° 250,Cidade Velha/Campina/Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 8-1-1,,,15/2,07/1,Rua Ó de Almeida n° 648,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 9-1-1,,,14/8,07/4,Travessa Padre Eutiquio n° 1367,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 10-1-1,,Alemanha,15/1,07/1,Rua Alcindo Cacela n° 2074/ Rua Bernardo Couto n° 785, 791 e 797/ Rua Carlos Gomes n° 23, 29 e 37/ Avenida Conselheiro Furtado n° 584/ Rua Gaspar Viana n° 384/ Avenida Nazaré n° 1319/ Rua Ó de Almeida n° 760/ Rua 15 de Novembro n° 15/25/ Rua 28 de Setembro n° 982 e 1163,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 10-1-1,,Alemanha,15/1,07/1,Rua Alcindo Cacela n° 2074/ Rua Bernardo Couto n° 785, 791 e 797/ Rua Carlos Gomes n° 23, 29 e 37/ Avenida Conselheiro Furtado n° 584/ Rua Gaspar Viana n° 384/ Avenida Nazaré n° 1319/ Rua Ó de Almeida n° 760/ Rua 15 de Novembro n° 15/25/ Rua 28 de Setembro n° 982 e 1163, Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 10-1-1,,Alemanha,15/1,07/1,Rua Alcindo Cacela n° 2074/ Rua Bernardo Couto n° 785, 791 e 797/ Rua Carlos Gomes n° 23, 29 e 37/ Avenida Conselheiro Furtado n° 584/ Rua Gaspar Viana n° 384/ Avenida Nazaré n° 1319/ Rua Ó de Almeida n° 760/ Rua 15 de Novembro n° 15/25/ Rua 28 de Setembro n° 982 e 1163,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 10-1-1,,Alemanha,15/1,07/1,Rua Alcindo Cacela n° 2074/ Rua Bernardo Couto n° 785, 791 e 797/ Rua Carlos Gomes n° 23, 29 e 37/ Avenida Conselheiro Furtado n° 584/ Rua Gaspar Viana n° 384/ Avenida Nazaré n° 1319/ Rua Ó de Almeida n° 760/ Rua 15 de Novembro n° 15/25/ Rua 28 de Setembro n° 982 e 1163,Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 10-1-1,,Alemanha,15/1,07/1,Rua Alcindo Cacela n° 2074/ Rua Bernardo Couto n° 785, 791 e 797/ Rua Carlos Gomes n° 23, 29 e 37/ Avenida Conselheiro Furtado n° 584/ Rua Gaspar Viana n° 384/ Avenida Nazaré n° 1319/ Rua Ó de Almeida n° 760/ Rua 15 de Novembro n° 15/25/ Rua 28 de Setembro n° 982 e 1163,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 11-1-1,,Alemanha,15/2,07/6,Rua Ó de Almeida n° 252 e 879/ Travessa Piedade n° 298/302/306/ Rua Senador Manoel Barata n° 1186 e 1200/ Rua 13 de Maio n° 162/168/ Travessa Padre Eutiquio n° 252 esquina da Travessa 13 de Maio,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 11-1-1,,Alemanha,15/2,07/6,Rua Ó de Almeida n° 252 e 879/ Travessa Piedade n° 298/302/306/ Rua Senador Manoel Barata n° 1186 e 1200/ Rua 13 de Maio n° 162/168/ Travessa Padre Eutiquio n° 252 esquina da Travessa 13 de Maio,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 12-1-1,,,15/4,07/1,Travessa Dom Pedro n° 830 e 836/ Avenida Alcindo Cacela n° 2080 e 2092,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 12-1-1,,,15/4,07/1,Travessa Dom Pedro n° 830 e 836/ Avenida Alcindo Cacela n° 2080 e 2092,Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 12-1-2,,,15/3,07/5,Rua Pedro Prudêncio n° 556/ Avenida José bonifácio n° 678/ Rua dos Tamoios n° 1644,Campin,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 12-1-2,,,15/3,07/5,Rua Pedro Prudêncio n° 556/ Avenida José bonifácio n° 678/ Rua dos Tamoios n° 1644,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 12-1-2,,,15/3,07/5,Rua Pedro Prudêncio n° 556/ Avenida José bonifácio n° 678/ Rua dos Tamoios n° 1644,São Brás,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 13-1-1,, Alemanha,15/1,07/4,Travessa Campos Sales n° 553/ Avenida José Malcher n° 754/ Travessa Dr. Moraes n° 98/ Travessa Honorio Santos n° 256,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 13-1-1,, Alemanha,15/1,07/4,Travessa Campos Sales n° 553/ Avenida José Malcher n° 754/ Travessa Dr. Moraes n° 98/ Travessa Honorio Santos n° 256,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 13-1-1,, Alemanha,15/1,07/4,Travessa Campos Sales n° 553/ Avenida José Malcher n° 754/ Travessa Dr. Moraes n° 98/ Travessa Honorio Santos n° 256,Jurunas,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 14-1-1,,,15/4,07/1,Travessa da Piedade n° 341,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 14-1-2,,,15/4,07/1,Avenida Alcindo Cacela n° 1866,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 15-1-1,,Provavelmente Alemanha,15/2,07/5,Travessa 13 de Março n° 1704/ Rua Ó de Almeida n° 125/ Rua Marquês de Pombal n° 118/122/ Rua Tomázia Perdigão n° 188/190/ Rua Dr. Assis n° 667/ Travessa Padre Eutiquio n° 397/399/ Rua 28 de Setembro n° 1155 e 1177,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 15-1-1,,Provavelmente Alemanha,15/2,07/5,Travessa 13 de Março n° 1704/ Rua Ó de Almeida n° 125/ Rua Marquês de Pombal n° 118/122/ Rua Tomázia Perdigão n° 188/190/ Rua Dr. Assis n° 667/ Travessa Padre Eutiquio n° 397/399/ Rua 28 de Setembro n° 1155 e 1177,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 15-1-1,,Provavelmente Alemanha,15/2,07/5,Travessa 13 de Março n° 1704/ Rua Ó de Almeida n° 125/ Rua Marquês de Pombal n° 118/122/ Rua Tomázia Perdigão n° 188/190/ Rua Dr. Assis n° 667/ Travessa Padre Eutiquio n° 397/399/ Rua 28 de Setembro n° 1155 e 1177,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 15-1-1,,Provavelmente Alemanha,15/2,07/5,Travessa 13 de Março n° 1704/ Rua Ó de Almeida n° 125/ Rua Marquês de Pombal n° 118/122/ Rua Tomázia Perdigão n° 188/190/ Rua Dr. Assis n° 667/ Travessa Padre Eutiquio n° 397/399/ Rua 28 de Setembro n° 1155 e 1177,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 16-1-2,,França,15/4,08/5,Avenida Generalíssimo Deodoro n° 254 e 260/ Avenida Alcindo Cacela n° 2098 e 2110 e Avenida 16 de Novembro n° 112,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 16-1-2,,França,15/4,08/5,Avenida Generalíssimo Deodoro n° 254 e 260/ Avenida Alcindo Cacela n° 2098 e 2110 e Avenida 16 de Novembro n° 112,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 16-1-2,,França,15/4,08/5,Avenida Generalíssimo Deodoro n° 254 e 260/ Avenida Alcindo Cacela n° 2098 e 2110 e Avenida 16 de Novembro n° 112,/Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 17-1-1,,,15/1,07/1,Rua Tomázia Perdigão n° 248,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 20-1-1,,,14/5,07/5,Rua Arcipreste Manoel Teodoro n° 820/ Rua Ó de Almeida n° 527/ Rua Senador Manoel Barata n° 214/216/ Rua Gaspar Viana n° 184/190,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 20-1-1,,,14/5,07/5,Rua Arcipreste Manoel Teodoro n° 820/ Rua Ó de Almeida n° 527/ Rua Senador Manoel Barata n° 214/216/ Rua Gaspar Viana n° 184/190,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 21-1-1,,,,,Avenida Nazaré n° 210,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FD 22-1-1,,França,15/3,07/7,Demolido,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CMR 1-1-1,,Provavelmente Alemanha,14/5,14/5,Rua Marques de Pombal n° 84/90,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CMR 2-1-1,,Alemanha,17/5,17/5,Rua Senador Manoel Barata 284/298/ Rua Dr.Assis n° 586/ Travessa Padre Eutiquio n° 298, 859 e 869,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CMR 3-1-1,,,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CMR 4-1-1,,,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 1-1-1,,,,,Avenida Governador José Malcher n° 459,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 2-1-1,,,15/1,07/5,Avenida Senador Manoel Barata n° 1343,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 3-1-1,,,,,Travessa Quintino Bocaiúva n° 1455,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 4-1-1,,,,,Rua 15 de Novembro n° 280, esquina da Travessa Campos Sales,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 5-1-1,,,,,Avenida Nazaré n° 744,São Brás,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 6-1-1 (a e b),,,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 7-1-1,Sacavém,Portugal,15/1,07/5,Avenida Gentil Bittencourt n° 1537,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 8-1-1,,,,,Mercado de Carne (Rua 15 de Novembro),Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 9-1-1,,,15/1,07/5,Demolido,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FMR 10-1-1,,,15/1,07/5,Demolido,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CR 2-1-1,Porto,Portugal,11/5,13/5,Avenida Generalíssimo Deodoro n° 1410,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FR 1-1-1,,Portugal,,,Rua 15 de Novembro n° 319,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FR 3-1-1,Porto,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FR 4-1-1,Porto,Portugal,,,Rua 15 de Novembro n° 319,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FR 5-1-1,Porto,Portugal,14/1,07/6,Travessa Frutuoso Guimarães n° 611,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FR 6-1-1,,,15/1,05/1,Demolido,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
