Azulejo-Código,Cidade,Pais,altura,largura,Endereço,Bairro,Uso-Aplicação
CE 24-2-2,Porto,Portugal,,,Rua Senador Manoel Barata n° 270/274,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 25-1-1,Provavelmente Porto,Portugal,14/1,14/1,Travessa Dom Romualdo de Seias n° 613,Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 26-1-1,Porto,Portugal,14/1,14/1,Travessa Campos Sales n° 375,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 27-1-1,Porto,Portugal,,,Rua 16 de Novembro n° 651,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 28-1-1,Provavelmente Porto,Portugal,,,Rua 16 de Novembro n° 651,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 29-1-1,Porto,Portugal,13/5,13/5,Rua 13 de Maio n° 38/40,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 30-1-1,Porto,Portugal,,,Travessa São Francisco n° 60,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 31-1-1,Portugal,,,,Rua dos 48 n° 59 (Demolido antes de 1986),Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 32-1-1,Porto,Portugal,10/1,10/1,Travessa São Francisco n° 60,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 33-1-1,Porto,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 34-1-1,Portugal,,14/1,14/1,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 35-1-1,Provavelmente Portugal,,14/1,14/1,Travessa 7 de Setembro n° 243,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 36-1-1,Portugal,,13/5,13/5,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 37-1-1,Portugal,,13/5,13/5,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 38-1-1,Provavelmente Portugal,,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 39-1-1,Porto,Portugal,,,Travessa 1° de Março n° 331/335/341 e Rua Ó de Almeida n° 363,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 40-1-1,Portugal,,13/5,13/5,Demolido antes de 1986,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
CE 41-1-1,Portugal,,14/1,14/1,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
